"","mod","A","B","sigma"
"425","RKL",6.379,0.0002216,6.30316088226121
"426","HSL",6.694,2033,5.24070435607291
"427","RKL",12.91,0.0003554,5.72974178354543
"428","HSL",4.774,2648,7.82780363856437
"429","RKL",7.443,0.0002857,9.34130798678718
"430","HSL",6.208,1976,7.9355083133619
"431","RKL",9.906,0.0002957,5.22779796373231
"432","HSL",4.729,2202,4.83990595186131
"433","RKL",7.658,0.0002714,6.38485774934829
"434","HSL",4.847,2455,7.0604850154956
"435","RKL",12.71,0.0004199,7.04295212273764
"436","HSL",6.275,2187,5.9559694583434
"437","RKL",13.31,0.0003178,6.11303588839418
"438","HSL",5.104,2124,6.69349440752082
"439","RKL",16.81,0.0004278,8.43049259542784
"440","HSL",3.041,3867,9.25687868092984
"441","RKL",7.079,0.0001947,6.45766349759778
"442","HSL",3.152,4152,7.79444298418937
"443","RKL",18.73,0.0003987,8.48188929679971
"444","HSL",4.434,2869,4.74365367886638
"445","RKL",11,0.000299,5.60684003159472
"446","HSL",3.617,3454,7.47643961022815
"447","RKL",9.813,0.0002671,7.43294146247166
"448","HSL",3.124,3284,5.60948580761217
"449","RKL",15.92,0.0003813,4.71719105090836
"450","HSL",3.698,3095,8.26192384772028
"451","RKL",11.84,0.0003675,5.95174835968536
"452","HSL",5.027,3261,6.89737191225097
"453","RKL",16.08,0.0004235,6.4765970018855
"454","HSL",2.959,3129,7.89583052318582
"455","RKL",15.81,0.0003441,6.32835347220768
"456","HSL",4.618,2343,5.25588331227637
"457","RKL",10.68,0.0003292,7.85431821488056
"458","HSL",3.305,3146,7.03597544730292
"459","RKL",10.89,0.0003777,6.20173672946042
"460","HSL",3.812,2504,6.92045665447833
"461","RKL",6.239,0.0002314,6.5260583677608
"462","HSL",4.927,2694,7.21687836487032
"463","RKL",10.73,0.0002449,7.51646028002829
"464","HSL",8.237,2135,12.1527228339511
"465","RKL",24.57,0.000545,6.54840794813759
"466","HSL",3.638,3245,9.10219981240913
"467","RKL",14.12,0.0003762,6.14527057607492
"468","HSL",4.929,2069,5.61833218719368
"469","RKL",16.54,0.0004189,6.96395040459317
"470","HSL",2.874,3843,6.74199862463242
"471","RKL",10.61,0.0002735,6.93541982147066
"472","HSL",4.371,3379,7.07460599963348
"473","RKL",9.178,0.0002979,6.25
"474","HSL",3.238,4084,6.59237176540157
"475","RKL",4.507,0.0001684,4.76622983524131
"476","HSL",6.064,1945,5.46032472424634
"477","RKL",15.2,0.0004212,7.05521140463993
"478","HSL",5.014,2045,6.06227633928201
"479","RKL",19.85,0.0004363,7.30491567071402
"480","HSL",6.446,1833,6.67557337293191
"481","RKL",12.22,0.0003388,5.36982899514869
"482","HSL",5.318,2319,7.39221270954573
"483","RKL",14.4,0.0003462,9.32910509720565
"484","HSL",3.101,4164,7.03597544730292
"485","RKL",13.09,0.0003996,6.29192195347073
"486","HSL",4.147,3453,7.36809449612315
"487","RKL",8.152,0.0004939,7.44322927564787
"488","HSL",5.813,1830,8.19782294729941
"489","RKL",11.03,0.0003767,6.23419104385162
"490","HSL",3.479,3071,5.92141145374041
"491","RKL",5.629,0.0001767,8.0451798670913
"492","HSL",8.288,1863,7.97325472097299
"493","RKL",19.23,0.0004292,7.47853004494263
"494","HSL",4.892,2101,5.60331814680526
"495","RKL",9.734,0.0002688,7.28937327933795
"496","HSL",2.997,4019,8.37414038627107
"497","RKL",10.4,0.0002959,6.10733289630618
"498","HSL",4.129,3139,6.70552225982275
"499","RKL",15.64,0.000372,6.29441429738051
"500","HSL",3.706,3202,7.03597544730292
"501","RKL",6.653,0.000373,8.80792364902093
"502","HSL",4.695,2710,7.27200611779588
"503","RKL",8.689,0.0002944,6.61975901867895
"504","HSL",7.978,2233,11.7435945151498
"505","RKL",18.22,0.0003628,8.39181358296689
"506","HSL",5.846,2013,7.26432712292148
"507","RKL",7.862,0.0002262,5.04304966752612
"508","HSL",4.443,2843,5.94438298277764
"509","RKL",2.754,4.62e-05,7.8518966584133
"510","HSL",2.154,3051,6.90065559342354
"511","RKL",31.89,0.0005386,8.54669637883346
"512","HSL",7.296,1939,7.1156806696482
"513","RKL",10.85,0.0002296,7.37009533648484
"514","HSL",6.049,2037,6.55262411422401
"515","RKL",10.67,0.0003984,6.21010211665374
"516","HSL",5.004,2387,9.05357460425185
"517","RKL",20.21,0.0004434,9.11731975607399
"518","HSL",3.393,3138,5.29924517628313
"519","RKL",14.24,0.0004922,7.67868896042439
"520","HSL",5.504,2018,5.58232531066616
"521","RKL",12.98,0.0003273,7.32252025938212
"522","HSL",5.479,1953,6.63577165322388
"523","RKL",16.14,0.0004408,8.72705347182405
"524","HSL",4.887,2407,6.70250921888886
"525","RKL",9.553,0.0002368,6.63285162155192
"526","HSL",6.628,1878,9.22924025252575
"527","RKL",15.7,0.0003519,8.99114807657189
"528","HSL",6.496,2277,7.07814950398772
"529","RKL",23.6,0.000532,5.25878952389589
"530","RKL",7.538,0.0002242,6.88102353203975
"531","HSL",3.761,2740,5.80063578452488
"532","RKL",9.27,0.0002616,6.24756002333079
"533","HSL",7.399,1891,8.89460083706025
"534","RKL",12.7,0.0003125,5.2566094134489
"535","HSL",4,2811,7.46185548674875
"536","RKL",11.02,0.0004266,8.96942154926387
"537","HSL",3.783,2539,7.42678921300052
"538","RKL",10.64,0.0002635,6.31950173956948
"539","HSL",5.876,2124,6.30190913746041
"540","RKL",9.47,0.0003062,6.19103074074176
"541","HSL",2.307,3674,7.37410191211999
"542","RKL",5.35,0.000151,7.86645969409441
"543","HSL",6.427,2024,8.89460083706025
"544","RKL",8.294,0.0002375,4.20368488375058
"545","HSL",3.983,2408,6.75583153274027
"546","RKL",5.847,0.0001941,5.51234078608742
"547","HSL",4.149,2407,6.32076399899275
"548","RKL",8.996,0.000322,5.83708405417779
"549","HSL",5.444,2162,7.77087340200262
"550","RKL",19.13,0.0004713,5.01948834947362
"551","HSL",5.267,2608,9.11353270720612
"552","RKL",6.51,0.0002454,5.91209046797349
"553","HSL",3.435,3251,4.60189821431612
"554","RKL",12.26,0.0003438,6.55966919110482
"555","HSL",4.778,2219,7.17958158617738
"556","RKL",11.6,0.0003319,6.08242800595706
"557","HSL",5.294,2004,5.56328771734271
"558","RKL",8.953,0.0002358,9.28877155295032
"559","HSL",8.083,1923,7.97325472097299
"560","RKL",8.934,0.000247,5.8956279495074
"561","HSL",3.98,2024,5.48161262066893
"562","RKL",9.603,0.0003263,5.65233418944221
"563","HSL",8.731,2068,10.1503228615292
"564","RKL",15.48,0.0004656,7.1265139882828
"565","HSL",3.318,3216,6.05005959338049
"566","RKL",13.64,0.0004087,6.26962328219399
"567","HSL",2.705,4013,5.71102320433419
"568","RKL",8.894,0.0002576,5.40106735637485
"569","HSL",3.854,2686,5.28664114752403
"570","RKL",29.58,0.0009152,13.4026102785132
"571","HSL",4.499,2888,6.16509220041393
"572","RKL",10.57,0.0002955,6.96733014291618
"573","HSL",4.771,2324,5.57278212575353
"574","RKL",8.502,0.000241,5.44815549867895
"575","HSL",4.98,2476,6.72216693055187
"576","RKL",7.229,0.0002284,7.10669054518701
"577","HSL",4.576,2618,6.16626415978207
"578","RKL",18.06,0.0004002,6.41632335799367
"579","HSL",6.151,2820,9.05728736823989
"580","RKL",15.93,0.000418,6.6313930505345
"581","HSL",3.3,4062,6.18156070729634
"582","RKL",10.57,0.0002762,5.73539334676404
"583","HSL",4.338,3624,6.37058989297032
"584","RKL",8.401,0.0002493,6.17213399848368
"585","HSL",5.433,2358,8.20886379128898
"586","RKL",11.65,0.0002873,5.53763849028308
"587","HSL",3.253,2368,7.42474185549421
"588","RKL",13.19,0.000341,5.62366014684256
"589","HSL",2.712,2561,7.8860037234564
"590","RKL",6.198,0.0002322,6.60962931263943
"591","HSL",5.26,2265,5.62099427319343
"592","RKL",10.61,0.000254,6.69199547246508
"593","HSL",6.031,1952,5.93286386461409
"594","RKL",14.59,0.0004739,10.8522697318281
"595","HSL",4.478,2300,8.36242010007091
